unique_id,building,floor,room,sensor_type,file_path
112,POLOA,5,558,humidity,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\558\humidity.csv
113,POLOA,5,558,light,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\558\light.csv
114,POLOA,5,558,pir,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\558\pir.csv
115,POLOA,5,558,temperature,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\558\temperature.csv
116,POLOA,5,562,co2,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\562\co2.csv
117,POLOA,5,562,humidity,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\562\humidity.csv
118,POLOA,5,562,light,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\562\light.csv
119,POLOA,5,562,pir,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\562\pir.csv
120,POLOA,5,562,temperature,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\562\temperature.csv
121,POLOA,5,564,co2,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\564\co2.csv
122,POLOA,5,564,humidity,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\564\humidity.csv
123,POLOA,5,564,light,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\564\light.csv
124,POLOA,5,564,pir,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\564\pir.csv
125,POLOA,5,564,temperature,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\564\temperature.csv
126,POLOA,6,621,co2,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\621\co2.csv
127,POLOA,6,621,humidity,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\621\humidity.csv
